"district_key","NAME_1","indicator","year","percent"
"balaka","Balaka","Skilled Birth Attendance",2015,50.1529355715427
"balaka","Balaka","ANC 4+",2015,57.5452470666889
"balaka","Balaka","Postnatal Care",2015,100
"balaka","Balaka","Coverage Index",2015,69.2327275460772
"balaka","Balaka","Skilled Birth Attendance",2024,37.811200825522
"balaka","Balaka","ANC 4+",2024,57.992345226674
"balaka","Balaka","Postnatal Care",2024,99.8112448450231
"balaka","Balaka","Coverage Index",2024,65.2049302990731
"blantyre","Blantyre","Skilled Birth Attendance",2015,45.1867900195804
"blantyre","Blantyre","ANC 4+",2015,44.1274676619017
"blantyre","Blantyre","Postnatal Care",2015,99.5963990332776
"blantyre","Blantyre","Coverage Index",2015,62.9702189049199
"blantyre","Blantyre","Skilled Birth Attendance",2024,33.2930150557188
"blantyre","Blantyre","ANC 4+",2024,56.5706976147934
"blantyre","Blantyre","Postnatal Care",2024,99.0849740979339
"blantyre","Blantyre","Coverage Index",2024,62.9828955894821
"chikwawa","Chikwawa","Skilled Birth Attendance",2015,56.9585248159078
"chikwawa","Chikwawa","ANC 4+",2015,37.4703365095795
"chikwawa","Chikwawa","Postnatal Care",2015,99.7645654139781
"chikwawa","Chikwawa","Coverage Index",2015,64.7311422464885
"chikwawa","Chikwawa","Skilled Birth Attendance",2024,37.7076991423906
"chikwawa","Chikwawa","ANC 4+",2024,48.1733750318557
"chikwawa","Chikwawa","Postnatal Care",2024,98.6477951301012
"chikwawa","Chikwawa","Coverage Index",2024,61.5096231014492
"chiradzulu","Chiradzulu","Skilled Birth Attendance",2015,49.1528875401836
"chiradzulu","Chiradzulu","ANC 4+",2015,50.7061172347157
"chiradzulu","Chiradzulu","Postnatal Care",2015,99.711644218264
"chiradzulu","Chiradzulu","Coverage Index",2015,66.5235496643877
"chiradzulu","Chiradzulu","Skilled Birth Attendance",2024,30.5710545247451
"chiradzulu","Chiradzulu","ANC 4+",2024,54.5278396511754
"chiradzulu","Chiradzulu","Postnatal Care",2024,99.5225379850651
"chiradzulu","Chiradzulu","Coverage Index",2024,61.5404773869952
"chitipa","Chitipa","Skilled Birth Attendance",2015,55.014186552121
"chitipa","Chitipa","ANC 4+",2015,47.1576947720755
"chitipa","Chitipa","Postnatal Care",2015,98.7179913551035
"chitipa","Chitipa","Coverage Index",2015,66.9632908931
"chitipa","Chitipa","Skilled Birth Attendance",2024,33.1825379837213
"chitipa","Chitipa","ANC 4+",2024,57.8133295653743
"chitipa","Chitipa","Postnatal Care",2024,100
"chitipa","Chitipa","Coverage Index",2024,63.6652891830319
"dedza","Dedza","Skilled Birth Attendance",2015,47.2209833126797
"dedza","Dedza","ANC 4+",2015,52.561890397487
"dedza","Dedza","Postnatal Care",2015,99.5849895182646
"dedza","Dedza","Coverage Index",2015,66.4559544094771
"dedza","Dedza","Skilled Birth Attendance",2024,31.9545092853471
"dedza","Dedza","ANC 4+",2024,63.0289658235878
"dedza","Dedza","Postnatal Care",2024,100
"dedza","Dedza","Coverage Index",2024,64.9944917029783
"dowa","Dowa","Skilled Birth Attendance",2015,48.6138846413319
"dowa","Dowa","ANC 4+",2015,57.5341975509226
"dowa","Dowa","Postnatal Care",2015,99.7994722326964
"dowa","Dowa","Coverage Index",2015,68.649184808317
"dowa","Dowa","Skilled Birth Attendance",2024,32.2951835967387
"dowa","Dowa","ANC 4+",2024,71.7719554313214
"dowa","Dowa","Postnatal Care",2024,100
"dowa","Dowa","Coverage Index",2024,68.02237967602
"karonga","Karonga","Skilled Birth Attendance",2015,52.0225730940323
"karonga","Karonga","ANC 4+",2015,44.2181380669904
"karonga","Karonga","Postnatal Care",2015,100
"karonga","Karonga","Coverage Index",2015,65.4135703870076
"karonga","Karonga","Skilled Birth Attendance",2024,37.1220272350892
"karonga","Karonga","ANC 4+",2024,72.1451442315457
"karonga","Karonga","Postnatal Care",2024,99.142740111474
"karonga","Karonga","Coverage Index",2024,69.4699705260363
"kasungu","Kasungu","Skilled Birth Attendance",2015,52.3673663929126
