"district_key","sba_2024","anc_2024","pnc_2024","coverage_2024"
"balaka",0.37811200825522,0.57992345226674,0.998112448450231,0.65204930299073
"blantyre",0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821
"blantyre city",0.263245759884394,0.679791587583373,0.913016180206321,0.618684509224696
"chikwawa",0.377076991423906,0.481733750318557,0.986477951301012,0.615096231014492
"chiradzulu",0.305710545247451,0.545278396511754,0.995225379850651,0.615404773869952
"chitipa",0.331825379837213,0.578133295653743,1,0.636652891830319
"dedza",0.319545092853471,0.630289658235878,1,0.649944917029783
"dowa",0.322951835967387,0.717719554313214,1,0.6802237967602
"karonga",0.371220272350892,0.721451442315457,0.99142740111474,0.694699705260363
"kasungu",0.335085031099831,0.603791239374753,0.995267649030639,0.644714639835074
"likoma",0.261815290711117,0.685575060355843,1,0.64913011702232
"lilongwe",0.303621520617629,0.550998141882965,1,0.618206554166865
"lilongwe city",0.255719233820318,0.657490279553775,1,0.637736504458031
"machinga",0.409205628676408,0.653771287088374,0.997469764571891,0.686815560112224
"mangochi",0.417870945932564,0.686809633258189,1,0.701560193063584
"mchinji",0.291379249054658,0.661441851894223,1,0.65094036698296
"mulanje",0.332509171828527,0.660142876571677,0.986580246289524,0.65974409822991
"mwanza",0.341599780346997,0.649977329787794,0.993461419478468,0.661679509871086
"mzimba",0.335627834211228,0.598262220701718,1,0.644630018304315
"mzuzu city",0.229584140351872,0.738572518066795,1,0.656052219472889
"neno",0.350512504412663,0.79436091409964,1,0.714957806170768
"nkhata bay",0.367390337739463,0.744773278708593,1,0.704054538816018
"nkhotakota",0.365082863633329,0.667363044805913,0.989380299259467,0.673942069232903
"nsanje",0.35685168498074,0.661333760290675,0.994114059229651,0.670766501500355
"ntcheu",0.34425020679603,0.622701788671605,1,0.655650665155878
"ntchisi",0.314750098758329,0.67850282479935,1,0.664417641185893
"phalombe",0.305809717540652,0.582434179623587,1,0.62941463238808
"rumphi",0.313219582761156,0.607364984966566,1,0.640194855909241
"salima",0.349752209922944,0.592738961948886,0.995601180516368,0.646030784129399
"thyolo",0.316275147179222,0.569315377759964,0.994400322017048,0.626663615652078
"zomba",0.344750432488569,0.702750023520291,0.991802532003775,0.679767662670878
"zomba city",0.253910551522227,0.735650724572481,1,0.663187092031569
