"GID_2","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","district_key","sba_2015","anc_2015","pnc_2015","coverage_2015","sba_2024","anc_2024","pnc_2024","coverage_2024","coverage_change"
"MWI.1.1_1","MWI","Malawi","MWI.1_1","Balaka",NA,"Balaka Town",NA,NA,"Town","Town",NA,NA,"balaka",0.501529355715427,0.575452470666889,1,0.692327275460772,0.37811200825522,0.57992345226674,0.998112448450231,0.65204930299073,-0.0402779724700413
"MWI.1.2_1","MWI","Malawi","MWI.1_1","Balaka",NA,"TA Kalembo",NA,NA,"Traditional Authority","Traditional Authority",NA,NA,"balaka",0.501529355715427,0.575452470666889,1,0.692327275460772,0.37811200825522,0.57992345226674,0.998112448450231,0.65204930299073,-0.0402779724700413
"MWI.1.3_1","MWI","Malawi","MWI.1_1","Balaka",NA,"TA Nsamala",NA,NA,"Traditional Authority","Traditional Authority",NA,NA,"balaka",0.501529355715427,0.575452470666889,1,0.692327275460772,0.37811200825522,0.57992345226674,0.998112448450231,0.65204930299073,-0.0402779724700413
"MWI.2.1_1","MWI","Malawi","MWI.2_1","Blantyre",NA,"Blantyre City",NA,NA,"City","City",NA,NA,"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296
"MWI.2.2_1","MWI","Malawi","MWI.2_1","Blantyre",NA,"TA Chigaru",NA,NA,"Traditional Authority","Traditional Authority",NA,NA,"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296
"MWI.2.3_1","MWI","Malawi","MWI.2_1","Blantyre",NA,"TA Kapeni",NA,NA,"Traditional Authority","Traditional Authority",NA,NA,"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296
"MWI.2.4_1","MWI","Malawi","MWI.2_1","Blantyre",NA,"TA Kuntaja",NA,NA,"Traditional Authority","Traditional Authority",NA,NA,"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296
"MWI.2.5_1","MWI","Malawi","MWI.2_1","Blantyre",NA,"TA Kunthembwe",NA,NA,"Traditional Authority","Traditional Authority",NA,NA,"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296
"MWI.2.6_1","MWI","Malawi","MWI.2_1","Blantyre",NA,"TA Lundu",NA,NA,"Traditional Authority","Traditional Authority",NA,NA,"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296
"MWI.2.7_1","MWI","Malawi","MWI.2_1","Blantyre",NA,"TA Machinjili",NA,NA,"Traditional Authority","Traditional Authority",NA,NA,"blantyre",0.451867900195804,0.441274676619017,0.995963990332776,0.629702189049199,0.332930150557188,0.565706976147934,0.990849740979339,0.629828955894821,0.000126766845621296
